Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Stock
2013-12-19,ICICIBANK,EQ,1095.8,1110.0,1111.9,1058.35,1062.5,1063.5,1069.48,3837488,410409967830000.0,123942.0,1494872.0,0.3895,ICICIBANK
2013-12-20,ICICIBANK,EQ,1063.5,1070.0,1090.6,1065.9,1084.9,1087.7,1079.73,2823289,304839823075000.0,85858.0,1342379.0,0.4755,ICICIBANK
2013-12-23,ICICIBANK,EQ,1087.7,1087.0,1106.9,1087.0,1097.9,1098.05,1100.5,2037538,224231881015000.0,61773.0,929983.0,0.4564,ICICIBANK
2013-12-24,ICICIBANK,EQ,1098.05,1100.0,1109.9,1088.3,1097.95,1098.85,1098.81,1745041,191746731240000.0,47616.0,670751.0,0.3843999999999999,ICICIBANK
2013-12-26,ICICIBANK,EQ,1098.85,1095.0,1105.75,1092.35,1103.15,1099.65,1098.68,2613466,287135865130000.0,48970.0,1196222.0,0.4577,ICICIBANK
2013-12-27,ICICIBANK,EQ,1099.65,1108.0,1113.8,1102.4,1108.0,1110.25,1108.92,1417549,157194747125000.0,41625.0,595223.0,0.4199,ICICIBANK
2013-12-30,ICICIBANK,EQ,1110.25,1115.0,1124.9,1093.2,1095.65,1096.7,1102.0,1349048,148664945190000.0,32422.0,515724.0,0.3823,ICICIBANK
2013-12-31,ICICIBANK,EQ,1096.7,1101.1,1108.8,1094.05,1098.0,1098.75,1099.63,792115,87103731250000.0,22893.0,259231.0,0.3273,ICICIBANK
2014-01-01,ICICIBANK,EQ,1098.75,1100.9,1106.05,1092.0,1101.85,1097.7,1097.71,564158,61927994629999.99,14769.0,139240.0,0.2468,ICICIBANK
2014-01-02,ICICIBANK,EQ,1097.7,1096.15,1118.0,1070.1,1074.0,1075.6,1098.21,2058457,226060789035000.0,55849.0,775100.0,0.3765,ICICIBANK
2014-01-03,ICICIBANK,EQ,1075.6,1068.0,1075.0,1045.0,1070.05,1066.8,1058.62,2830455,299638880835000.0,70780.0,1138186.0,0.4021,ICICIBANK
2014-01-06,ICICIBANK,EQ,1066.8,1066.0,1069.0,1035.05,1043.0,1040.8,1045.31,2691321,281327554900000.0,61577.0,1403503.0,0.5215,ICICIBANK
2014-01-07,ICICIBANK,EQ,1040.8,1045.05,1059.2,1023.85,1050.6,1050.0,1041.69,3375730,351645291830000.0,103736.0,1293386.0,0.3831,ICICIBANK
2014-01-08,ICICIBANK,EQ,1050.0,1054.0,1063.85,1043.3,1055.25,1054.3,1055.18,3446450,363661650430000.0,101083.0,1793390.0,0.5204,ICICIBANK
2014-01-09,ICICIBANK,EQ,1054.3,1064.8,1065.6,1042.25,1050.35,1050.85,1050.58,3497943,367486047640000.0,134481.0,2140311.0,0.6119,ICICIBANK
2014-01-10,ICICIBANK,EQ,1050.85,1047.35,1054.6,1018.65,1030.0,1024.5,1035.88,3970052,411248531670000.0,81933.0,1981629.0,0.4991,ICICIBANK
2014-01-13,ICICIBANK,EQ,1024.5,1030.1,1061.1,1030.1,1060.3,1054.9,1048.54,3269439,342812826575000.0,101014.0,1947243.0,0.5956,ICICIBANK
2014-01-14,ICICIBANK,EQ,1054.9,1052.0,1061.0,1033.0,1039.0,1036.45,1046.96,3078938,322353262245000.0,78060.0,1817890.0,0.5904,ICICIBANK
2014-01-15,ICICIBANK,EQ,1036.45,1045.0,1068.8,1042.9,1060.0,1058.35,1058.28,3436176,363643659940000.0,71621.0,1913761.0,0.5569,ICICIBANK
2014-01-16,ICICIBANK,EQ,1058.35,1066.5,1066.5,1049.05,1059.45,1058.9,1056.64,1633953,172649758910000.0,52530.0,544621.0,0.3333,ICICIBANK
2014-01-17,ICICIBANK,EQ,1058.9,1053.4,1061.9,1031.05,1034.5,1034.55,1044.39,1758587,183665057940000.0,50502.0,762308.0,0.4335,ICICIBANK
2014-01-20,ICICIBANK,EQ,1034.55,1034.5,1048.0,1028.0,1046.3,1044.0,1039.91,1930371,200740787430000.0,38573.0,966182.0,0.5005,ICICIBANK
2014-01-21,ICICIBANK,EQ,1044.0,1053.0,1080.0,1048.8,1079.65,1078.05,1068.73,2708689,289486363345000.0,87255.0,1433634.0,0.5293,ICICIBANK
2014-01-22,ICICIBANK,EQ,1078.05,1080.2,1091.0,1069.2,1084.0,1087.95,1081.31,2325196,251424784740000.0,75950.0,1090955.0,0.4692,ICICIBANK
2014-01-23,ICICIBANK,EQ,1087.95,1091.0,1091.0,1072.1,1076.1,1079.45,1079.69,1868031,201690288150000.0,57203.0,951776.0,0.5095000000000001,ICICIBANK
2014-01-24,ICICIBANK,EQ,1079.45,1064.1,1074.0,1052.6,1055.45,1058.2,1060.48,1869749,198282845685000.0,72341.0,947404.0,0.5067,ICICIBANK
2014-01-27,ICICIBANK,EQ,1058.2,1038.8,1039.25,1007.25,1011.0,1009.8,1017.26,5073528,516109884935000.06,107929.0,3417724.0,0.6736,ICICIBANK
2014-01-28,ICICIBANK,EQ,1009.8,1010.7,1028.9,978.75,1023.0,1018.65,1005.73,4838691,486641077095000.0,109824.0,1945039.0,0.402,ICICIBANK
2014-01-29,ICICIBANK,EQ,1018.65,1031.8,1038.3,995.6,1002.2,1001.4,1021.18,4822350,492447836190000.0,124329.0,1902303.0,0.3945,ICICIBANK
2014-01-30,ICICIBANK,EQ,1001.4,986.85,992.3,963.5,981.0,974.55,977.03,4990516,487586391450000.0,95395.0,3020630.0,0.6053000000000001,ICICIBANK
2014-01-31,ICICIBANK,EQ,974.55,984.5,993.4,971.45,989.35,987.7,981.94,2633542,258597941610000.0,78254.0,1242111.0,0.4717,ICICIBANK
2014-02-03,ICICIBANK,EQ,987.7,981.0,982.0,955.4,962.0,963.5,968.18,3556846,344365955860000.0,110907.0,2155032.0,0.6059,ICICIBANK
2014-02-04,ICICIBANK,EQ,963.5,949.85,973.0,943.6,969.6,968.65,960.15,3088891,296581218425000.0,93929.0,1275167.0,0.4128,ICICIBANK
2014-02-05,ICICIBANK,EQ,968.65,974.95,978.65,955.25,966.25,966.25,964.04,2989400,288189248555000.0,92222.0,1424576.0,0.4765,ICICIBANK
2014-02-06,ICICIBANK,EQ,966.25,970.0,974.4,946.05,960.85,958.05,955.77,4178022,399322114060000.0,108426.0,2186021.0,0.5232,ICICIBANK
2014-02-07,ICICIBANK,EQ,958.05,970.0,972.0,950.5,962.55,960.45,961.11,2843749,273316766250000.0,78772.0,1372161.0,0.4825,ICICIBANK
2014-02-10,ICICIBANK,EQ,960.45,963.15,967.8,956.25,957.95,960.55,963.01,1622444,156242214240000.0,57480.0,877859.0,0.5411,ICICIBANK
2014-02-11,ICICIBANK,EQ,960.55,964.9,973.5,962.0,969.5,968.85,968.96,2043702,198026975405000.0,74222.0,1140379.0,0.5579999999999999,ICICIBANK
2014-02-12,ICICIBANK,EQ,968.85,977.25,1001.75,977.25,997.7,999.2,992.76,3902871,387462740835000.0,91458.0,2488331.0,0.6376,ICICIBANK
2014-02-13,ICICIBANK,EQ,999.2,1000.5,1009.0,980.0,980.9,983.6,993.03,4479446,444822156320000.0,89707.0,3107041.0,0.6936,ICICIBANK
2014-02-14,ICICIBANK,EQ,983.6,986.0,991.3,970.2,990.0,988.45,978.23,2751503,269159219390000.0,67513.0,1299881.0,0.4724,ICICIBANK
2014-02-17,ICICIBANK,EQ,988.45,991.0,1013.85,989.0,1012.0,1009.15,997.57,2594803,258848745600000.0,69191.0,1380860.0,0.5322,ICICIBANK
2014-02-18,ICICIBANK,EQ,1009.15,1012.0,1043.8,1004.3,1034.9,1037.8,1032.75,3476751,359061587140000.0,123948.0,1828439.0,0.5259,ICICIBANK
2014-02-19,ICICIBANK,EQ,1037.8,1035.9,1042.75,1027.55,1032.0,1030.9,1034.28,2141792,221522310775000.0,69120.0,1022471.0,0.4774,ICICIBANK
